CountryName,Year,GDPValue
Brunei Darussalam,1960,
Brunei Darussalam,1961,
Brunei Darussalam,1962,
Brunei Darussalam,1963,
Brunei Darussalam,1964,
Brunei Darussalam,1965,114040245.7
Brunei Darussalam,1966,132758395.4
Brunei Darussalam,1967,139030445.6
Brunei Darussalam,1968,160819286.6
Brunei Darussalam,1969,161211289.7
Brunei Darussalam,1970,179080099.3
Brunei Darussalam,1971,197523179.2
Brunei Darussalam,1972,270818555.8
Brunei Darussalam,1973,433092003.6
Brunei Darussalam,1974,1073577086
Brunei Darussalam,1975,1168304306
Brunei Darussalam,1976,1423061357
Brunei Darussalam,1977,1732721161
Brunei Darussalam,1978,1941600704
Brunei Darussalam,1979,2803780006
Brunei Darussalam,1980,4928824958
Brunei Darussalam,1981,4366213850
Brunei Darussalam,1982,4264252336
Brunei Darussalam,1983,3844723142
Brunei Darussalam,1984,3782523088
Brunei Darussalam,1985,3523612563
Brunei Darussalam,1986,2358592817
Brunei Darussalam,1987,2754463438
Brunei Darussalam,1988,2690717551
Brunei Darussalam,1989,2985467979
Brunei Darussalam,1990,3520551724
Brunei Darussalam,1991,3701667053
Brunei Darussalam,1992,4183548189
Brunei Darussalam,1993,4105706152
Brunei Darussalam,1994,4087337960
Brunei Darussalam,1995,4734020037
Brunei Darussalam,1996,5115602837
Brunei Darussalam,1997,5197332974
Brunei Darussalam,1998,4051147228
Brunei Darussalam,1999,4600000000
Brunei Darussalam,2000,6001153306
Brunei Darussalam,2001,5601090584
Brunei Darussalam,2002,5843329108
Brunei Darussalam,2003,6557333085
Brunei Darussalam,2004,7872333215
Brunei Darussalam,2005,9531402848
Brunei Darussalam,2006,11470703002
Brunei Darussalam,2007,12247694247
Brunei Darussalam,2008,14393099069
Brunei Darussalam,2009,10732366286
Brunei Darussalam,2010,13707370737
Brunei Darussalam,2011,18525319978
Brunei Darussalam,2012,19047940301
Brunei Darussalam,2013,18093829923
Brunei Darussalam,2014,17098342541
Brunei Darussalam,2015,12930394938
Brunei Darussalam,2016,11400854268
Brunei Darussalam,2017,12128104859
Brunei Darussalam,2018,13567351175
Brunei Darussalam,2019,13469422959
Brunei Darussalam,2020,12005825770
Brunei Darussalam,2021,14006569576
Cambodia,1960,637142865.7
Cambodia,1961,642857134.3
Cambodia,1962,660000008.6
Cambodia,1963,728571437.1
Cambodia,1964,782857128.6
Cambodia,1965,868571428.6
Cambodia,1966,914285714.3
Cambodia,1967,962857134.3
Cambodia,1968,1065714249
Cambodia,1969,978873232.4
Cambodia,1970,718401157.7
Cambodia,1971,969911421.4
Cambodia,1972,505549441.4
Cambodia,1973,702899156
Cambodia,1974,588443893.7
Cambodia,1975,
Cambodia,1976,
Cambodia,1977,
Cambodia,1978,
Cambodia,1979,
Cambodia,1980,
Cambodia,1981,
Cambodia,1982,
Cambodia,1983,
Cambodia,1984,
Cambodia,1985,
Cambodia,1986,
Cambodia,1987,
Cambodia,1988,
Cambodia,1989,
Cambodia,1990,
Cambodia,1991,
Cambodia,1992,
Cambodia,1993,2533727592
Cambodia,1994,2791435272
Cambodia,1995,3441205693
Cambodia,1996,3506695720
Cambodia,1997,3443413389
Cambodia,1998,3120425503
Cambodia,1999,3517242477
Cambodia,2000,3654031716
Cambodia,2001,3984000517
Cambodia,2002,4284028483
Cambodia,2003,4658246918
Cambodia,2004,5337833248
Cambodia,2005,6293046162
Cambodia,2006,7274595707
Cambodia,2007,8639235842
Cambodia,2008,10351914093
Cambodia,2009,10401851851
Cambodia,2010,11242275199
Cambodia,2011,12829541141
Cambodia,2012,14054443213
Cambodia,2013,15227991395
Cambodia,2014,16702610842
Cambodia,2015,18049954289
Cambodia,2016,20016747754
Cambodia,2017,22177200512
Cambodia,2018,24571753583
Cambodia,2019,27089389787
Cambodia,2020,25872798012
Cambodia,2021,26961061120
China,1960,59716467625
China,1961,50056868958
China,1962,47209359006
China,1963,50706799903
China,1964,59708343489
China,1965,70436266147
China,1966,76720285970
China,1967,72881631327
China,1968,70846535056
China,1969,79705906247
China,1970,92602973434
